language,proverb_native_script,romanized_as_extracted,literal_translation,figurative_meaning
Assamese,"গাত নাই চাল বাকলি, মদ খাই তিন টেকেলি","Gat nai chal bakali, Mad khai tin tekeli.","He has nothing to cover himself with, But he drinks three pots of rice-beer.","literally skin. 1? is Tte ffR (lao pani) or the Bengali pachwai, which is a liquor fermented from boiled rice. 1? is largely drunk by the aboriginal people of Assam — Kacharis, Ahoms, Miris and Deoris are particularly fond of it. It is not an unpleasant drink when fresh, its taste being a bitterish sub-acid. Hodgson gives the following description of how the Bodo (Kachiri) brews it: — The grain is boiled; the root of a plant called agaichito ' is mixed with it; it is left to ferment for two days in a nearly dry state; water is then added quantum suffidt; the whole stands for three or four days, and the liquor is ready. In Goalpara the ' bora mad/ which is the mad ' of the Rabhas, is a fermented liquor made from 1 bora dhan.' The following ingredients also are added: — leaves of the jack tree, leaves of a plant called ' Bhatai tita/ and long pepper. The Assamese 'mad' is very similar in taste to the Naga ' zii, ' although the former is perhaps preferable. The proverb applies to an extravagant drunkard. Christian gives a Bihar saying, which it is interesting to quote, because it expresses the same idea, i.e., (maiir na jure tari) = He cannot afford rice gruel, yet he drinks toddy!"
Assamese,"ধন ল'বা লেখি, বাট বুলিবা দেখি","Dhan labfi lekhi, bdt bulibd dekhi.",Count money first before you take it over. Tell the way if you have seen the road. A very sensible piece of advice.,
Assamese,"পালে চৰাই ভাঙিবা পাখি, হোৱা ভাতক নাথবা ৰাখি","Pale charai bhdngiba pSkhi, howa bhatak na thaba rakhi.","When you have caught a bird, break its wings. Don't place on one side rice which is ready.",
Assamese,"জাপি লাঠি টাঙা, ইয়াক যি নলয়, সি দিনতে কণা","Jhapi, lathi, tanga, iyak ji nalai, Shi dinate kana.","He who carries neither jhapi, lathi or tanga, Is blind even in the daytime. 153. People who live in glass-houses, etc.","51 tt \fRl Ttfe C? f%5 3TttF tT tt, f'fFf'r Chai chai buliba bat dehar bhitarat dche khal bam, pichali pariba tdt. Look out as you move, for there are many holes within your own body,"
Assamese,"যেতিয়া মাৰিব ঢোলত চাপৰ, তেতিয়া ল'বা মূৰত কাপোৰ","Jetiya mariba dholat chapar, Tetiya laba murat kapar.","When they (the bhakats) clap their hands at the temple, Then cover your head with your cloth.","The proverb alludes to the evening worship at the temple, when, on account of the evening chills, it is best to cover the head. Ft9! (chdpar) here means the clapping of hands by a number of people all together. The chdpar11 is the principal accompaniment to the singing of religious hymns (ndm). The chdpar accompaniment is varied at intervals by the clashing of tal (cymbals) and by the beating of large drums."
Assamese,"মৰিয়াক কেলেই ধান, গৰীয়াক কেলেই কাণ?","Mariyak kelei dhan, Gariyak kelei kan?","Why should a Mariya have paddy, or a Gariya be allowed to keep his ears?","(Mariya). — The Mariyds are braziers. They are, as a rule, much looked down upon. They are professedly Muhammadans, but are quite ignorant of the tenets of Islam really. Possibly, they are converts from Hinduism, which may account for the contempt with which they are held by Hindus, sffafl (gariya). — This term, as stated before, is meant to be one of opprobrium, but in reality it is nothing of the sort.?tf1 means a man from Gaur (a city in Bengal), that formerly existed. The Assamese Muhammadans say they are a relict of the Muhammadan invasion. In the times of the rdjas, they were much oppressed, but their status has much improved of late years. _"
Assamese,"নাগিনীয়ে ল'ৰা পায়, নগাই জাল খায়","Naginie lara pai, nagai jal khai.","The Naga's wife gives birth to a child, the Naga drinks the medicine. (jal) is the Hindustani jhdl, a preparation of hot spices taken by women after delivery.","1 (nagd) or N1 (ndgd) is a generic term, which includes a number of large and powerful hill tribes."
Assamese,নিজৰ নাক কাটি সতিনীৰ যাত্ৰা ভঙা,Nijar nak kdti shatinir jatra bhanga.,"She cut off her own nose, so as to prevent her husband's second wife from starting on a journey. One wife, out of jealousy, because her husband's second wife is going out for the day, slits her own nose, so as to prevent her starting. The Assamese have a superstition that if anything mutilated or deformed is seen when setting out on a journey, the journey will be unlucky. fst (shatini) or arfaT (shatiyoi) =one of the several wives of one husband. Polygamy brings many evils; not the least of these evils is the jealousy that nearly always exists between the wives, which results in continual squabbles, cf. — the following translations of Eastern sayings: Malay. — Two wives under one roof: two tigers in one cage. Telegu. — Two swords cannot be contained in one scabbard. Afghan. — Who likes squabbles at home, contracts two marriages. Tamul. — Why fire the house of a man who has two wives? i.e., the fire of anger and jealousy is enough.",
Assamese,ঢেঁকী শাল ফুৰিলে খুদৰ কি আকাল,Dheki shal phurile khudar ki akal.,"The paddy-husker has gone away, what a dearth of broken rice (refuse) there will be!",200- Father. ttfl rte vtffr Tif'tf i Bapur gat barhani lagil. The broom has touched father's body!
Assamese,ৰাজহংসৰ গতি ধৰোতে ঘৰচিৰিয়ে কৰো খোজ পাহৰিলে,"Raj hangshar gati dharote, Ghanchiri karo khoj paharile.","The house sparrow in trying to imitate the gait of the goose, Forgot its own. 297. The tadpole.",Ttfo fa ws ntffi Lalukaloi kitapat pani lagiche. Why does a tadpole require warm water! cf. — Christian's Bihar proverb: —
Assamese,"ৰজাক চিনিবা দানত, হস্তীক চিনিবা আনত, ঘোঁৰাক চিনিবা কাণত","Rajak chiniba danat Hsctik chiniba anat, Ghorak chiniba kanat.","You will be able to recognise a king by his liberality, An elephant when it belongs to another, And a horse by its ears.",The second line means that a man does not know how to appre- ciate a good elephant until he has sold it to some one else. Good horses are supposed to keep their ears erect. There is a proverb also in Bengali about being able to recognise a good horse by its ears.
Assamese,খুদ মগনীয়াৰ কুকুৰ শত্ৰু,Khud maganiyar kukur shatru.,The dog is the enemy of the man who begs for scraps. is properly rice refuse.,
Assamese,"ভাল খাতিলো বাঘক, পহু মাৰি আনি দিলা আগত","Bhal khatilo baghak, Pahu mari ani dila agat.","I have laid a good bait for the tiger, By killing a deer and placing it in front of it.","Tigers will sometimes eat animals that they have not killed themselves, but this is not usual. f=Beng. i is the common word for a deer in Assamese, not an animal as in Bengali. 283. Madoi."
Assamese,বুৰে পতি শেলুক নে?,Bure pati sheluk ne.,"Do you find a seluk each time you dive? The seluk is the edible root of ffoT (bhet), a kind of lotus, which grows in bils. The CTJ (bhet) is something similar to the singhara.",
Assamese,"গধূলি হ'লে সাত হাল বায়, পুৱা হ'লে এ হালো নাই","Gadhuli hale shat shal bai, Pua hale e halo nai.","In the evening he has seven ploughs going, In the early morning he has not one.","The proverb illustrates the case of a man,who, although ignorant of agriculture altogether, pretends that he is doing a great deal of it. The Assamese never ploughs in the evening, at least not unless he can possibly help it. A ploughman's day is generally from dawn till about 11 or 12 o'clock. After that he lets his bullocks loose, and does no more that day."
Assamese,অবতৰীয়া বেঙেনা মোক তোল মোক তোল কৰে,Abatariya' bengend mok tol mok tol kare.,"The egg plant that is out of season, cries out pluck me, pluck me.",This saying is expressive of contempt towards men who are too pushing. 246. The bagari plum. Ulur lagat bagari paril. The wild plum is found in the ' ulu ' grass.
