incident_id,incident_date,severity,category,description,,Assigned_to,resolution_time
1,2023-01-01T00:00:00,High,Network,Network connectivity issue affecting multiple users.,,NT_ADMIN,2023-01-01T00:05:00
2,2023-01-01T00:05:00,Medium,Hardware,Printer malfunction in the marketing department.,,ADMIN,2023-01-01T00:05:50
3,2023-01-01T00:10:00,Low,Software,Application crash reported by a single user.,,Sr_Asstt,2023-01-01T00:10:40
4,2023-01-01T00:15:00,High,Security,Unauthorized access detected in the server logs.,,NT_SEC,2023-01-01T00:15:07
5,2023-01-01T00:20:00,Medium,Hardware,Laptop screen broken for an executive user.,,ADMIN,2023-01-01T00:20:04
6,2023-01-01T00:25:00,Low,Network,Slow internet connection reported in the conference room.,,NT_ADMIN,2023-01-01T00:25:20
7,2023-01-01T00:30:00,High,Software,Critical system error causing application downtime.,,Sr_Asstt,2023-01-01T00:30:40
8,2023-01-01T00:35:00,Medium,Hardware,Keyboard malfunction for a desktop computer.,,ADMIN,2023-01-01T01:35:00
9,2023-01-01T00:40:00,Low,Security,Failed login attempts on a user account.,,NT_SEC,2023-01-01T02:40:00
10,2023-01-01T00:45:00,High,Software,Database corruption issue impacting production environment.,,ADMIN,2023-01-01T00:45:00
11,2023-01-01T00:50:00,Medium,Network,Intermittent network disconnections in the finance department.,,NT_ADMIN,2023-01-01T00:50:40
12,2023-01-01T00:55:00,Low,Hardware,Monitor flickering issue for a user workstation.,,ADMIN,2023-01-01T01:55:00
13,2023-01-01T01:00:00,High,Security,Data breach incident with potential data loss.,,NT_SEC,2023-01-01T01:00:40
14,2023-01-01T01:05:00,Medium,Software,Software update causing compatibility issues.,,Sr_Asstt,2023-01-01T01:05:40
15,2023-01-01T01:10:00,Low,Hardware,Mouse not working for a user in the sales team.,,ADMIN,2023-01-01T01:10:10
16,2023-01-01T01:15:00,High,Network,Distributed Denial of Service (DDoS) attack on the company website.,,NT_ADMIN,2023-01-01T01:15:40
17,2023-01-01T01:20:00,Medium,Security,Security patch installation on server systems.,,NT_SEC,2023-01-01T01:20:20
18,2023-01-01T01:25:00,Low,Software,Email client not syncing properly on mobile devices.,,Sr_Asstt,2023-01-01T01:25:02
19,2023-01-01T01:30:00,High,Hardware,Server hardware failure leading to service outage.,,ADMIN,2023-01-01T01:30:04
20,2023-01-01T01:35:00,Medium,Network,Packet loss observed during video conferencing sessions.,,NT_ADMIN,2023-01-01T01:35:04
21,2023-01-01T01:40:00,Low,Security,Phishing attempt reported by a user via email.,,NT_SEC,2023-01-01T01:40:05
22,2023-01-01T01:45:00,High,Software,Operating system crash affecting multiple users.,,Sr_Asstt,2023-01-01T01:55:00
23,2023-01-01T01:50:00,Medium,Hardware,Scanner malfunction in the HR department.,,ADMIN,2023-01-01T01:50:50
24,2023-01-01T01:55:00,Low,Network,Slow file transfer speeds reported in the IT department.,,NT_ADMIN,2023-01-01T01:55:40
25,2023-01-01T02:00:00,High,Security,Ransomware attack detected on file servers.,,NT_SEC,2023-01-01T02:10:00
